	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	anger	1.0	0.7527075812274369	0.858908341915551	1.0	0.7527075812274369	0.858908341915551	0.7527075812274369
1	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	confusion	1.0	0.8772563176895307	0.9346153846153846	1.0	0.8772563176895307	0.9346153846153846	0.8772563176895307
2	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	disgust	1.0	0.8146811070998796	0.8978779840848806	1.0	0.8146811070998796	0.8978779840848806	0.8146811070998796
3	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	embarrassment	1.0	0.8273164861612515	0.9054988475469213	1.0	0.8273164861612515	0.9054988475469213	0.8273164861612515
4	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	excitement	1.0	0.9314079422382672	0.9644859813084112	1.0	0.9314079422382672	0.9644859813084112	0.9314079422382672
5	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	fear	1.0	0.45607701564380265	0.6264462809917355	1.0	0.45607701564380265	0.6264462809917355	0.45607701564380265
6	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	joy	1.0	0.9193742478941035	0.9579937304075236	1.0	0.9193742478941035	0.9579937304075236	0.9193742478941035
7	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	nervousness	1.0	0.950661853188929	0.9747069710055521	1.0	0.950661853188929	0.9747069710055521	0.950661853188929
8	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	neutral	1.0	0.7358604091456077	0.8478336221837088	1.0	0.7358604091456077	0.8478336221837088	0.7358604091456077
9	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	pride	1.0	0.6131167268351384	0.7601641178664678	1.0	0.6131167268351384	0.7601641178664678	0.6131167268351384
10	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	sadness	1.0	0.9795427196149218	0.9896656534954408	1.0	0.9795427196149218	0.9896656534954408	0.9795427196149218
11	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	surprise	1.0	0.9638989169675091	0.9816176470588235	1.0	0.9638989169675091	0.9816176470588235	0.9638989169675091
