	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	anger	1.0	0.30434782608695654	0.4666666666666667	1.0	0.30434782608695654	0.4666666666666667	0.30434782608695654
1	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	confusion	1.0	0.23809523809523808	0.38461538461538464	1.0	0.23809523809523808	0.38461538461538464	0.23809523809523808
2	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	disgust	1.0	0.2631578947368421	0.4166666666666667	1.0	0.2631578947368421	0.4166666666666667	0.2631578947368421
3	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	embarrassment	1.0	0.13333333333333333	0.23529411764705882	1.0	0.13333333333333333	0.23529411764705882	0.13333333333333333
4	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	excitement	1.0	0.17889908256880735	0.3035019455252918	1.0	0.17889908256880735	0.3035019455252918	0.17889908256880735
5	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	fear	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	joy	1.0	0.7508650519031141	0.857707509881423	1.0	0.7508650519031141	0.857707509881423	0.7508650519031141
7	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	nervousness	1.0	0.2465753424657534	0.3956043956043956	1.0	0.2465753424657534	0.3956043956043956	0.2465753424657534
8	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	neutral	1.0	0.14685314685314685	0.25609756097560976	1.0	0.14685314685314685	0.25609756097560976	0.14685314685314685
9	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	pride	1.0	0.21428571428571427	0.35294117647058826	1.0	0.21428571428571427	0.35294117647058826	0.21428571428571427
10	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	sadness	1.0	0.5161290322580645	0.6808510638297872	1.0	0.5161290322580645	0.6808510638297872	0.5161290322580645
11	../Syntropy_Result_Finals/Models/Model_Trained_Go_Emotion	surprise	1.0	0.15789473684210525	0.2727272727272727	1.0	0.15789473684210525	0.2727272727272727	0.15789473684210525
