	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model3_35	anger	1.0	0.06666666666666667	0.125	1.0	0.06666666666666667	0.125	0.06666666666666667
1	../final/models/models_2nd_run/model3_35	confusion	1.0	0.14285714285714285	0.25	1.0	0.14285714285714285	0.25	0.14285714285714285
2	../final/models/models_2nd_run/model3_35	disgust	1.0	0.25	0.4	1.0	0.25	0.4	0.25
3	../final/models/models_2nd_run/model3_35	embarrassment	1.0	0.1	0.18181818181818182	1.0	0.1	0.18181818181818182	0.1
4	../final/models/models_2nd_run/model3_35	excitement	1.0	0.2605633802816901	0.4134078212290503	1.0	0.2605633802816901	0.4134078212290503	0.2605633802816901
5	../final/models/models_2nd_run/model3_35	fear	1.0	0.18181818181818182	0.3076923076923077	1.0	0.18181818181818182	0.3076923076923077	0.18181818181818182
6	../final/models/models_2nd_run/model3_35	joy	1.0	0.5585106382978723	0.7167235494880546	1.0	0.5585106382978723	0.7167235494880546	0.5585106382978723
7	../final/models/models_2nd_run/model3_35	nervousness	1.0	0.2765957446808511	0.43333333333333335	1.0	0.2765957446808511	0.43333333333333335	0.2765957446808511
8	../final/models/models_2nd_run/model3_35	neutral	1.0	0.4838709677419355	0.6521739130434783	1.0	0.4838709677419355	0.6521739130434783	0.4838709677419355
9	../final/models/models_2nd_run/model3_35	pride	1.0	0.4589041095890411	0.6291079812206573	1.0	0.4589041095890411	0.6291079812206573	0.4589041095890411
10	../final/models/models_2nd_run/model3_35	sadness	1.0	0.35	0.5185185185185185	1.0	0.35	0.5185185185185185	0.35
11	../final/models/models_2nd_run/model3_35	surprise	1.0	0.24324324324324326	0.391304347826087	1.0	0.24324324324324326	0.391304347826087	0.24324324324324326
