	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model3_35	anger	1.0	0.30434782608695654	0.4666666666666667	1.0	0.30434782608695654	0.4666666666666667	0.30434782608695654
1	../final/models/models_2nd_run/model3_35	confusion	1.0	0.19047619047619047	0.32	1.0	0.19047619047619047	0.32	0.19047619047619047
2	../final/models/models_2nd_run/model3_35	disgust	1.0	0.5263157894736842	0.6896551724137931	1.0	0.5263157894736842	0.6896551724137931	0.5263157894736842
3	../final/models/models_2nd_run/model3_35	embarrassment	1.0	0.2	0.3333333333333333	1.0	0.2	0.3333333333333333	0.2
4	../final/models/models_2nd_run/model3_35	excitement	1.0	0.29357798165137616	0.45390070921985815	1.0	0.29357798165137616	0.45390070921985815	0.29357798165137616
5	../final/models/models_2nd_run/model3_35	fear	1.0	0.29411764705882354	0.45454545454545453	1.0	0.29411764705882354	0.45454545454545453	0.29411764705882354
6	../final/models/models_2nd_run/model3_35	joy	1.0	0.5916955017301038	0.7434782608695653	1.0	0.5916955017301038	0.7434782608695653	0.5916955017301038
7	../final/models/models_2nd_run/model3_35	nervousness	1.0	0.410958904109589	0.5825242718446602	1.0	0.410958904109589	0.5825242718446602	0.410958904109589
8	../final/models/models_2nd_run/model3_35	neutral	1.0	0.4825174825174825	0.6509433962264151	1.0	0.4825174825174825	0.6509433962264151	0.4825174825174825
9	../final/models/models_2nd_run/model3_35	pride	1.0	0.5669642857142857	0.7236467236467237	1.0	0.5669642857142857	0.7236467236467237	0.5669642857142857
10	../final/models/models_2nd_run/model3_35	sadness	1.0	0.45161290322580644	0.6222222222222222	1.0	0.45161290322580644	0.6222222222222222	0.45161290322580644
11	../final/models/models_2nd_run/model3_35	surprise	1.0	0.14035087719298245	0.24615384615384617	1.0	0.14035087719298245	0.24615384615384617	0.14035087719298245
