	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model1_0	anger	1.0	0.21739130434782608	0.35714285714285715	1.0	0.21739130434782608	0.35714285714285715	0.21739130434782608
1	../final/models/models_2nd_run/model1_0	confusion	1.0	0.2857142857142857	0.4444444444444444	1.0	0.2857142857142857	0.4444444444444444	0.2857142857142857
2	../final/models/models_2nd_run/model1_0	disgust	1.0	0.3157894736842105	0.48	1.0	0.3157894736842105	0.48	0.3157894736842105
3	../final/models/models_2nd_run/model1_0	embarrassment	1.0	0.26666666666666666	0.42105263157894735	1.0	0.26666666666666666	0.42105263157894735	0.26666666666666666
4	../final/models/models_2nd_run/model1_0	excitement	1.0	0.2018348623853211	0.33587786259541985	1.0	0.2018348623853211	0.33587786259541985	0.2018348623853211
5	../final/models/models_2nd_run/model1_0	fear	1.0	0.11764705882352941	0.21052631578947367	1.0	0.11764705882352941	0.21052631578947367	0.11764705882352941
6	../final/models/models_2nd_run/model1_0	joy	1.0	0.7301038062283737	0.844	1.0	0.7301038062283737	0.844	0.7301038062283737
7	../final/models/models_2nd_run/model1_0	nervousness	1.0	0.3013698630136986	0.4631578947368421	1.0	0.3013698630136986	0.4631578947368421	0.3013698630136986
8	../final/models/models_2nd_run/model1_0	neutral	1.0	0.08391608391608392	0.15483870967741936	1.0	0.08391608391608392	0.15483870967741936	0.08391608391608392
9	../final/models/models_2nd_run/model1_0	pride	1.0	0.26785714285714285	0.4225352112676056	1.0	0.26785714285714285	0.4225352112676056	0.26785714285714285
10	../final/models/models_2nd_run/model1_0	sadness	1.0	0.5161290322580645	0.6808510638297872	1.0	0.5161290322580645	0.6808510638297872	0.5161290322580645
11	../final/models/models_2nd_run/model1_0	surprise	1.0	0.19298245614035087	0.3235294117647059	1.0	0.19298245614035087	0.3235294117647059	0.19298245614035087
