	model	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../final/models/models_2nd_run/model1_0	anger	1.0	0.7540106951871658	0.8597560975609756	1.0	0.7540106951871658	0.8597560975609756	0.7540106951871658
1	../final/models/models_2nd_run/model1_0	confusion	1.0	0.8523489932885906	0.9202898550724637	1.0	0.8523489932885906	0.9202898550724637	0.8523489932885906
2	../final/models/models_2nd_run/model1_0	disgust	1.0	0.6610169491525424	0.7959183673469388	1.0	0.6610169491525424	0.7959183673469388	0.6610169491525424
3	../final/models/models_2nd_run/model1_0	embarrassment	1.0	0.5135135135135135	0.6785714285714286	1.0	0.5135135135135135	0.6785714285714286	0.5135135135135135
4	../final/models/models_2nd_run/model1_0	excitement	1.0	0.6893203883495146	0.8160919540229885	1.0	0.6893203883495146	0.8160919540229885	0.6893203883495146
5	../final/models/models_2nd_run/model1_0	fear	1.0	0.8243243243243243	0.9037037037037037	1.0	0.8243243243243243	0.9037037037037037	0.8243243243243243
6	../final/models/models_2nd_run/model1_0	joy	1.0	0.7891156462585034	0.8821292775665399	1.0	0.7891156462585034	0.8821292775665399	0.7891156462585034
7	../final/models/models_2nd_run/model1_0	nervousness	1.0	0.4782608695652174	0.6470588235294118	1.0	0.4782608695652174	0.6470588235294118	0.4782608695652174
8	../final/models/models_2nd_run/model1_0	neutral	1.0	0.5089285714285714	0.6745562130177515	1.0	0.5089285714285714	0.6745562130177515	0.5089285714285714
9	../final/models/models_2nd_run/model1_0	pride	1.0	0.375	0.5454545454545454	1.0	0.375	0.5454545454545454	0.375
10	../final/models/models_2nd_run/model1_0	sadness	1.0	0.8040540540540541	0.8913857677902621	1.0	0.8040540540540541	0.8913857677902621	0.8040540540540541
11	../final/models/models_2nd_run/model1_0	surprise	1.0	0.7045454545454546	0.8266666666666667	1.0	0.7045454545454546	0.8266666666666667	0.7045454545454546
