	model	error_type	target	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
40	../final/models/models_2nd_run/model3_35	Word	confusion	Missing Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	../final/models/models_2nd_run/model3_35	Word	confusion	Repeating Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42	../final/models/models_2nd_run/model3_35	Word	confusion	Scrambled Letter	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
43	../final/models/models_2nd_run/model3_35	Word	disgust	Adjacent Key	1.0	1.0	1.0	1.0	1.0	1.0	1.0
44	../final/models/models_2nd_run/model3_35	Word	disgust	Missing Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	../final/models/models_2nd_run/model3_35	Word	disgust	Repeating Letter	1.0	1.0	1.0	1.0	1.0	1.0	1.0
46	../final/models/models_2nd_run/model3_35	Word	disgust	Scrambled Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	../final/models/models_2nd_run/model3_35	Word	embarrassment	Adjacent Key	1.0	1.0	1.0	1.0	1.0	1.0	1.0
48	../final/models/models_2nd_run/model3_35	Word	embarrassment	Repeating Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	../final/models/models_2nd_run/model3_35	Word	embarrassment	Scrambled Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	../final/models/models_2nd_run/model3_35	Word	excitement	Adjacent Key	1.0	0.2608695652173913	0.41379310344827586	1.0	0.2608695652173913	0.41379310344827586	0.2608695652173913
51	../final/models/models_2nd_run/model3_35	Word	excitement	Missing Letter	1.0	0.27586206896551724	0.43243243243243246	1.0	0.27586206896551724	0.43243243243243246	0.27586206896551724
52	../final/models/models_2nd_run/model3_35	Word	excitement	Repeating Letter	1.0	0.42857142857142855	0.6	1.0	0.42857142857142855	0.6	0.42857142857142855
53	../final/models/models_2nd_run/model3_35	Word	excitement	Scrambled Letter	1.0	0.3684210526315789	0.5384615384615384	1.0	0.3684210526315789	0.5384615384615384	0.3684210526315789
54	../final/models/models_2nd_run/model3_35	Word	fear	Adjacent Key	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
55	../final/models/models_2nd_run/model3_35	Word	fear	Missing Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	../final/models/models_2nd_run/model3_35	Word	fear	Repeating Letter	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	../final/models/models_2nd_run/model3_35	Word	fear	Scrambled Letter	1.0	0.3333333333333333	0.5	1.0	0.3333333333333333	0.5	0.3333333333333333
