	model	specific_error	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
0	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Adjacent Key	0.5098039215686274	0.5098039215686274	0.5098039215686274	0.6099053724053723	0.5102409827886273	0.5222147361682246	0.5098039215686274
1	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Missing Complete Thought	0.4409090909090909	0.4409090909090909	0.4409090909090909	0.3252863413556742	0.29442719922616994	0.2869968449633026	0.4409090909090909
2	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Missing Letter	0.43636363636363634	0.43636363636363634	0.43636363636363634	0.20348635031030674	0.21425553286838553	0.20802982591092845	0.43636363636363634
3	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Missing Object	0.4354066985645933	0.4354066985645933	0.4354066985645933	0.3328594230716872	0.26970009157509156	0.2735723284097897	0.4354066985645933
4	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Missing Subject	0.441747572815534	0.441747572815534	0.441747572815534	0.4328926235535431	0.3680555555555556	0.35664776747803545	0.441747572815534
5	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Repeating Letter	0.512987012987013	0.512987012987013	0.512987012987013	0.4078368526897938	0.3243606701940035	0.3173208365684426	0.512987012987013
6	../Syntropy_Result_Finals/Models/Model_Journal_Tuned35	Scrambled Letter	0.40963855421686746	0.40963855421686746	0.40963855421686746	0.3715391434806328	0.2774585346741544	0.2966226866442911	0.40963855421686746
